Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2022,5/1/2022,5,D,4337,793,2093600,19,0.015,0.005,20400.752418143,20400.752418143,20554.485677048,20419.357049857,20240.362072143,25808929480.9524,4769,1430,1800600,19
2022,5/1/2022,5,T,1463,520,1141200,14,0.015,0.005,20400.752418143,20400.752418143,20554.485677048,20419.357049857,20240.362072143,25808929480.9524,1488,800,936300,16
2022,5/1/2022,5,A,4210,1605,779700,16,0.015,0.005,20400.752418143,20400.752418143,20554.485677048,20419.357049857,20240.362072143,25808929480.9524,4713,2049,737100,19
2022,4/1/2022,4,D,3806,962,2139200,21,0.01,0.005,21586.4651368,21586.4651368,21738.76982415,21652.8950196,21491.07509755,25141786500,4426,1655,1755500,17
2022,4/1/2022,4,T,1228,578,1150500,13,0.01,0.005,21586.4651368,21586.4651368,21738.76982415,21652.8950196,21491.07509755,25141786500,1378,964,900900,18
2022,4/1/2022,4,A,3762,1692,844700,17,0.01,0.005,21586.4651368,21586.4651368,21738.76982415,21652.8950196,21491.07509755,25141786500,4441,2289,729600,24
2022,3/1/2022,3,D,3330,1291,2118600,22,0.005,0.0025,21626.252207957,21626.252207957,21720.873980957,21599.895805043,21513.369395348,31825003913.0435,3713,1965,1700200,27
2022,3/1/2022,3,T,1013,743,1138300,12,0.005,0.0025,21626.252207957,21626.252207957,21720.873980957,21599.895805043,21513.369395348,31825003913.0435,1309,1046,872200,19
2022,3/1/2022,3,A,3285,2310,835500,16,0.005,0.0025,21626.252207957,21626.252207957,21720.873980957,21599.895805043,21513.369395348,31825003913.0435,4123,2697,715800,28
2022,2/1/2022,2,D,2890,1010,2044800,24,0.0025,0,21232.373663737,21232.373663737,21330.615953842,21212.436986,21114.326069105,28839591052.6316,2948,1231,1621200,39
2022,2/1/2022,2,T,871,560,1090000,14,0.0025,0,21232.373663737,21232.373663737,21330.615953842,21212.436986,21114.326069105,28839591052.6316,1192,737,839800,22
2022,2/1/2022,2,A,2981,1854,807900,19,0.0025,0,21232.373663737,21232.373663737,21330.615953842,21212.436986,21114.326069105,28839591052.6316,4218,1759,697500,33
2022,1/1/2022,1,D,2341,622,1963000,44,0.0025,0,21033.2450195,21033.2450195,21161.56982425,21035.50488285,20856.53505855,26286398000,2809,740,1576800,51
2022,1/1/2022,1,T,675,348,1029500,21,0.0025,0,21033.2450195,21033.2450195,21161.56982425,21035.50488285,20856.53505855,26286398000,1206,454,815800,34
2022,1/1/2022,1,A,2647,1315,775700,30,0.0025,0,21033.2450195,21033.2450195,21161.56982425,21035.50488285,20856.53505855,26286398000,4291,1195,680800,44
2021,12/1/2021,12,D,2260,794,1910200,38,0.0025,0,20917.447451619,20917.447451619,21027.366629524,20910.204985143,20810.738188190,23704520000,2913,1026,1554600,50
2021,12/1/2021,12,T,569,430,1004900,24,0.0025,0,20917.447451619,20917.447451619,21027.366629524,20910.204985143,20810.738188190,23704520000,1176,593,813900,32
2021,12/1/2021,12,A,2407,1464,761800,29,0.0025,0,20917.447451619,20917.447451619,21027.366629524,20910.204985143,20810.738188190,23704520000,4449,1474,676500,40
2021,11/1/2021,11,D,2918,987,1870000,37,0.0025,0,21439.104580955,21439.104580955,21525.618075182,21466.477361545,21372.436257091,24828730000,3806,1061,1538900,42
2021,11/1/2021,11,T,825,613,990300,24,0.0025,0,21439.104580955,21439.104580955,21525.618075182,21466.477361545,21372.436257091,24828730000,1578,632,814800,35
2021,11/1/2021,11,A,3401,1828,752800,26,0.0025,0,21439.104580955,21439.104580955,21525.618075182,21466.477361545,21372.436257091,24828730000,5734,1371,676500,34
