Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
1/1/2005,100,100,100,100,100,100,385100,552500,435200,616100,314600,252700
2/1/2005,100.2,99.9,100,99.9,100.3,100.4,385800,552200,435300,615700,315700,253600
3/1/2005,100.5,99.8,100,99.8,100.7,100.9,386900,551600,435300,614700,316700,254900
4/1/2005,100.6,100,100.3,99.7,101.1,101.1,387400,552300,436300,614000,318000,255500
5/1/2005,101.3,100.3,100.6,100.1,101.7,102.1,390200,554000,437800,616500,319800,258000
6/1/2005,102.4,100.9,101.1,100.6,102.3,103.7,394400,557200,440200,619700,321900,262000
7/1/2005,104.1,102.5,103,102.3,103.8,105.5,400700,566500,448400,630000,326600,266700
8/1/2005,105.5,104.2,105,103.8,105.2,106.8,406200,575800,456800,639500,331100,269800
9/1/2005,107.4,105.9,106.8,105.4,106.8,109,413700,585200,464700,649400,336000,275400
10/1/2005,109,107.6,108.5,107.1,108.1,110.6,419600,594300,472000,659600,340100,279600
11/1/2005,110.6,109.2,110,108.7,109.4,112.3,425800,603400,478900,669800,344300,283900
12/1/2005,112.3,110.8,111.7,110.4,110.8,114.1,432600,612400,486100,680000,348500,288400
1/1/2006,114.1,112.5,113.3,112.1,112.6,116.2,439500,621500,493000,690600,354300,293700
2/1/2006,116,114.2,114.9,113.7,114.4,118.4,446600,630700,499900,700800,359900,299100
3/1/2006,117.7,115.9,116.5,115.5,116.1,120,453100,640200,507100,711400,365300,303300
4/1/2006,119.6,117.3,117.8,117,118,122.2,460500,648000,512800,721000,371100,308700
5/1/2006,121.3,118.8,119.5,118.4,119.7,124,467000,656300,520000,729500,376700,313400
6/1/2006,122.8,120.5,121.1,120,121.6,125.2,472800,665600,527200,739300,382700,316400
7/1/2006,124.1,121.5,122.1,121.3,122.8,126.7,477900,671400,531300,747100,386200,320200
8/1/2006,125.3,122.7,123,122.6,123.9,128.3,482700,677900,535100,755200,389700,324200
9/1/2006,126.5,123.7,123.8,123.7,125,129.4,487000,683700,538800,762200,393400,327100
10/1/2006,127.5,124.8,124.8,124.8,126.4,130.3,490900,689500,543100,768700,397500,329200
11/1/2006,128.5,125.8,125.8,125.8,127.8,131.1,494900,695100,547600,774900,402200,331300
