Year,Population,GrowthRate,Growth,Housetype,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents,Active listing,Average day on market,Benchmark price,Sales,Previous year average day,Previous year listing,Previous year sales,Previous years Benchmark price
2018,2530746,0.0127,31654,A,23993,16299,33295,7995,4360,3906,3769,-14440,18904,41483,26,687275,11651,21.333333333,2169.083333333,1516.083333333,593908.333333333
2017,2499092,0.0127,31258,T,24544,16259,28023,8595,4647,3816,5717,-13099,13544,13194,25.5,744158.333333333,6282,,,,
2021,2606351,0.0098,25272,T,23583,17885,28002,4249,948,772,12764,-12248,-3480,13858,21.916666667,928991.666666667,8137,35.333333333,1658,513.916666667,799608.333333333
2018,2530746,0.0127,31654,D,23993,16299,33295,7995,4360,3906,3769,-14440,18904,68657,47.416666667,1568116.66666667,7542,40.75,5000,959.833333333,1564333.33333333
2017,2499092,0.0127,31258,A,24544,16259,28023,8595,4647,3816,5717,-13099,13544,26029,21.333333333,593908.333333333,18193,,,,
2019,2555884,0.0099,25138,T,23780,16132,34562,6842,4432,3924,3360,-11851,23306,24909,41.583333333,778591.666666667,4629,29.5,1550.916666667,325.5,835725
2017,2499092,0.0127,31258,D,24544,16259,28023,8595,4647,3816,5717,-13099,13544,60000,40.75,1564333.33333333,11518,,,,
2019,2555884,0.0099,25138,A,23780,16132,34562,6842,4432,3924,3360,-11851,23306,59740,40.166666667,655916.666666667,12447,26,3456.916666667,970.916666667,687275
2020,2581079,0.0099,25195,T,23866,16474,36449,5335,6108,2176,5008,-11148,904,19896,35.333333333,799608.333333333,6167,41.583333333,2075.75,385.75,778591.666666667
2020,2581079,0.0099,25195,D,23866,16474,36449,5335,6108,2176,5008,-11148,904,48725,45.083333333,1482725,10719,54,5601.416666667,684.583333333,1424616.66666667
2021,2606351,0.0098,25272,A,23583,17885,28002,4249,948,772,12764,-12248,-3480,49264,27.333333333,730833.333333333,21774,33.333333333,4965.916666667,1171.5,680708.333333333
2021,2606351,0.0098,25272,D,23583,17885,28002,4249,948,772,12764,-12248,-3480,43246,31.75,1776875,14099,45.083333333,4060.416666667,893.25,1482725
2020,2581079,0.0099,25195,A,23866,16474,36449,5335,6108,2176,5008,-11148,904,59591,33.333333333,680708.333333333,14058,40.166666667,4978.333333333,1037.25,655916.666666667
2018,2530746,0.0127,31654,T,23993,16299,33295,7995,4360,3906,3769,-14440,18904,18611,29.5,835725,3906,25.5,1099.5,523.5,744158.333333333
2019,2555884,0.0099,25138,D,23780,16132,34562,6842,4432,3924,3360,-11851,23306,67217,54,1424616.66666667,8215,47.416666667,5721.416666667,628.5,1568116.66666667
