MakeDate,Year,Population,GrowthRate,Growth,Month,Active listing,Sales,Sales ratio,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Index Change,Volume,Housetype
1/1/2017,2017,2499092,0.0127,31258,1,2182,825,0.378093492,512300,35,0.005,0,15486.57613,15486.57613,15531.99042,15491.46666,15437.70006,4.89053,20638236667,A
1/1/2017,2017,2499092,0.0127,31258,1,938,254,0.270788913,666500,43,0.005,0,15486.57613,15486.57613,15531.99042,15491.46666,15437.70006,4.89053,20638236667,T
1/1/2017,2017,2499092,0.0127,31258,1,4118,444,0.10781933,1474800,58,0.005,0,15486.57613,15486.57613,15531.99042,15491.46666,15437.70006,4.89053,20638236667,D
2/1/2017,2017,2499092,0.0127,31258,2,2253,1275,0.565912117,526300,24,0.005,0,15639.70528,15639.70528,15684.21582,15646.84205,15595.12623,7.13677,23169161579,A
2/1/2017,2017,2499092,0.0127,31258,2,1031,404,0.39185257,675500,30,0.005,0,15639.70528,15639.70528,15684.21582,15646.84205,15595.12623,7.13677,23169161579,T
2/1/2017,2017,2499092,0.0127,31258,2,4310,745,0.172853828,1474200,41,0.005,0,15639.70528,15639.70528,15684.21582,15646.84205,15595.12623,7.13677,23169161579,D
3/1/2017,2017,2499092,0.0127,31258,3,2164,1841,0.850739372,537400,23,0.005,0,15515.27819,15515.27819,15572.06509,15510.30868,15454.30426,-4.96951,22767329565,A
3/1/2017,2017,2499092,0.0127,31258,3,1018,588,0.577603143,685100,27,0.005,0,15515.27819,15515.27819,15572.06509,15510.30868,15454.30426,-4.96951,22767329565,T
3/1/2017,2017,2499092,0.0127,31258,3,4404,1150,0.261126249,1489400,39,0.005,0,15515.27819,15515.27819,15572.06509,15510.30868,15454.30426,-4.96951,22767329565,D
4/1/2017,2017,2499092,0.0127,31258,4,2094,1722,0.82234957,554100,19,0.005,0,15642.25786,15642.25786,15699.15784,15652.62104,15587.52616,10.36318,20705033158,A
4/1/2017,2017,2499092,0.0127,31258,4,1066,620,0.581613508,701800,24,0.005,0,15642.25786,15642.25786,15699.15784,15652.62104,15587.52616,10.36318,20705033158,T
4/1/2017,2017,2499092,0.0127,31258,4,4653,1211,0.260262196,1516500,40,0.005,0,15642.25786,15642.25786,15699.15784,15652.62104,15587.52616,10.36318,20705033158,D
5/1/2017,2017,2499092,0.0127,31258,5,2140,2025,0.946261682,571300,19,0.005,0,15486.841,15486.841,15551.52725,15507.61812,15436.95912,20.77712,20691006818,A
5/1/2017,2017,2499092,0.0127,31258,5,1039,791,0.761308951,715400,23,0.005,0,15486.841,15486.841,15551.52725,15507.61812,15436.95912,20.77712,20691006818,T
5/1/2017,2017,2499092,0.0127,31258,5,4989,1548,0.310282622,1561000,33,0.005,0,15486.841,15486.841,15551.52725,15507.61812,15436.95912,20.77712,20691006818,D
6/1/2017,2017,2499092,0.0127,31258,6,2044,1905,0.931996086,600700,17,0.005,0,15308.82267,15308.82267,15371.06827,15315.15447,15249.80447,6.3318,22931570909,A
6/1/2017,2017,2499092,0.0127,31258,6,1077,668,0.620241411,745700,21,0.005,0,15308.82267,15308.82267,15371.06827,15315.15447,15249.80447,6.3318,22931570909,T
6/1/2017,2017,2499092,0.0127,31258,6,5394,1320,0.244716352,1587900,30,0.005,0,15308.82267,15308.82267,15371.06827,15315.15447,15249.80447,6.3318,22931570909,D
7/1/2017,2017,2499092,0.0127,31258,7,2366,1468,0.620456467,616600,17,0.0075,0.0025,15153.55,15153.55,15200.93999,15160.24004,15099.625,6.69004,15285498500,A
7/1/2017,2017,2499092,0.0127,31258,7,1210,543,0.448760331,763700,20,0.0075,0.0025,15153.55,15153.55,15200.93999,15160.24004,15099.625,6.69004,15285498500,T
7/1/2017,2017,2499092,0.0127,31258,7,5618,949,0.168921324,1612400,35,0.0075,0.0025,15153.55,15153.55,15200.93999,15160.24004,15099.625,6.69004,15285498500,D
8/1/2017,2017,2499092,0.0127,31258,8,2113,1613,0.763369617,626800,19,0.0075,0,15108.95002,15108.95002,15154.55451,15112.091,15060.2409,3.14098,15316680000,A
8/1/2017,2017,2499092,0.0127,31258,8,1180,529,0.448305085,778300,20,0.0075,0,15108.95002,15108.95002,15154.55451,15112.091,15060.2409,3.14098,15316680000,T
8/1/2017,2017,2499092,0.0127,31258,8,5514,901,0.163402249,1615100,36,0.0075,0,15108.95002,15108.95002,15154.55451,15112.091,15060.2409,3.14098,15316680000,D
9/1/2017,2017,2499092,0.0127,31258,9,2401,1451,0.604331529,635800,22,0.01,0.0025,15284.46001,15284.46001,15314.13999,15269.58481,15238.05488,-14.8752,19350300000,A
9/1/2017,2017,2499092,0.0127,31258,9,1226,518,0.422512235,786600,24,0.01,0.0025,15284.46001,15284.46001,15314.13999,15269.58481,15238.05488,-14.8752,19350300000,T
9/1/2017,2017,2499092,0.0127,31258,9,5839,852,0.145915396,1617300,42,0.01,0.0025,15284.46001,15284.46001,15314.13999,15269.58481,15238.05488,-14.8752,19350300000,D
10/1/2017,2017,2499092,0.0127,31258,10,2322,1532,0.659776055,642000,20,0.01,0,15825.97619,15825.97619,15853.67141,15819.80948,15797.21903,-6.16671,16584586190,A
