Month,Year,Housetype,Sales,Benchmark price,Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants
12,2005,T,438,351970,11150.78496,136128790,3.25,21756,13484,35990,9314,3656
12,2006,T,312,410234,12853.43159,162569578.9,4.25,21892,13396,38296,9215,4517
12,2007,T,317,456941,13670.63148,188840115.8,4.5,22530,13455,32245,9838,4252
12,2008,T,159,456941,8472.714239,269090876.2,2.25,23039,13810,36617,9449,3945
12,2009,T,459,478093,11580.10472,158214595.2,0.25,23688,13492,35977,8334,3773
12,2010,T,319,490869,13275.4382,195339985.7,1,23586,13545,36850,8906,4270
12,2011,T,254,511499,11860.67505,209796565,1,23223,13564,32857,8783,3872
12,2012,T,213,450900,12290.24733,182553368.4,1,23339,13813,29630,9542,4251
12,2013,T,341,456100,13339.18013,144336825,1,23969,13976,29822,9560,4087
12,2014,T,371,476800,14335.87142,272334338.1,1,23681,14290,30466,9775,4347
12,2015,T,466,543700,13115.16183,214070252.4,0.5,24134,14952,25159,9752,4911
12,2016,T,258,661800,15254.49502,223637860,0.5,24077,15161,34750,9574,4942
12,2017,T,371,803700,16092.82622,184272426.3,1,24544,16259,28023,8595,4647
12,2018,T,189,809700,14546.79996,276276668.4,1.75,23993,16299,33295,7995,4360
12,2019,T,364,778400,17019.95986,207834430,1.75,23780,16132,34562,6842,4432
12,2020,T,593,813900,17520.94782,247748995.2,0.25,23866,16474,36449,5335,6108
12,2021,T,430,1004900,20917.44745,237045200,0.25,23583,17885,28002,4249,948
11,2005,T,512,347935,10746.74991,132053504.5,3,21756,13484,35990,9314,3656
11,2006,T,404,410085,12422.34557,214683081.8,4.25,21892,13396,38296,9215,4517
11,2007,T,540,455332,13738.57271,229905750,4.5,22530,13455,32245,9838,4252
11,2008,T,142,426287,9043.729956,296403495,2.25,23039,13810,36617,9449,3945
11,2009,T,523,469686,11412.00009,173306885.7,0.25,23688,13492,35977,8334,3773
11,2010,T,407,488733,12843.19997,212203813.6,1,23586,13545,36850,8906,4270
11,2011,T,444,510960,12038.091,197608240.9,1,23223,13564,32857,8783,3872
11,2012,T,307,454300,12163.19087,152550268.2,1,23339,13813,29630,9542,4251
11,2013,T,426,458000,13396.08571,128495100,1,23969,13976,29822,9560,4087
11,2014,T,452,480200,14824.76504,200458880,1,23681,14290,30466,9775,4347
11,2015,T,636,536600,13424.18573,191119261.9,0.5,24134,14952,25159,9752,4911
11,2016,T,376,667100,14821.92738,226577081.8,0.5,24077,15161,34750,9574,4942
11,2017,T,446,805200,16032.32719,176767209.1,1,24544,16259,28023,8595,4647
11,2018,T,282,818500,15144.00457,253681772.7,1.75,23993,16299,33295,7995,4360
11,2019,T,451,772800,16925.99535,205401804.8,1.75,23780,16132,34562,6842,4432
11,2020,T,632,814800,16743.60491,270683195.2,0.25,23866,16474,36449,5335,6108
11,2021,T,613,990300,21439.10458,248287300,0.25,23583,17885,28002,4249,948
10,2005,T,545,348016,10487.57998,140605395,3,21756,13484,35990,9314,3656
10,2006,T,472,410434,11970.22852,213129638.1,4.25,21892,13396,38296,9215,4517
10,2007,T,527,464645,14215.41824,242931813.6,4.5,22530,13455,32245,9838,4252
10,2008,T,224,448152,9774.150036,317762745.5,3,23039,13810,36617,9449,3945
10,2009,T,610,468798,11291.49047,192470514.3,0.25,23688,13492,35977,8334,3773
10,2010,T,377,487530,12569.48496,197395705,1,23586,13545,36850,8906,4270
10,2011,T,382,519455,11922.75996,241595370,1,23223,13564,32857,8783,3872
10,2012,T,338,457700,12337.64546,141673259.1,1,23339,13813,29630,9542,4251
10,2013,T,496,458000,13057.72723,154387345.5,1,23969,13976,29822,9560,4087
10,2014,T,518,479500,14460.83176,209123077.3,1,23681,14290,30466,9775,4347
10,2015,T,666,526700,13751.94299,230453128.6,0.5,24134,14952,25159,9752,4911
10,2016,T,403,669200,14718.1749,197534870,0.5,24077,15161,34750,9574,4942
10,2017,T,550,802400,15825.97619,165845861.9,1,24544,16259,28023,8595,4647
10,2018,T,344,829200,15441.17267,279131331.8,1.75,23993,16299,33295,7995,4360
10,2019,T,536,771600,16403.16357,184524781.8,1.75,23780,16132,34562,6842,4432
10,2020,T,782,813000,16226.72387,211048366.7,0.25,23866,16474,36449,5335,6108
10,2021,T,603,975000,20777.575,213138835,0.25,23583,17885,28002,4249,948
9,2005,T,592,344435,10917.81901,150087176.2,2.75,21756,13484,35990,9314,3656
9,2006,T,392,411898,11769.53999,209688550,4.25,21892,13396,38296,9215,4517
9,2007,T,500,452944,13863.9264,222450478.9,4.5,22530,13455,32245,9838,4252
9,2008,T,450,476585,12450.45708,309926471.4,3,23039,13810,36617,9449,3945
9,2009,T,647,466276,11255.05236,215965004.8,0.25,23688,13492,35977,8334,3773
9,2010,T,383,490385,12163.83329,214157290.5,1,23586,13545,36850,8906,4270
9,2011,T,367,516697,12130.30957,243736204.8,1,23223,13564,32857,8783,3872
9,2012,T,246,458600,12285.60007,191711610.5,1,23339,13813,29630,9542,4251
9,2013,T,442,458300,12818.93003,127793550,1,23969,13976,29822,9560,4087
9,2014,T,464,477700,15353.49047,177950985.7,1,23681,14290,30466,9775,4347
9,2015,T,544,518600,13477.61435,212263461.9,0.5,24134,14952,25159,9752,4911
9,2016,T,369,676300,14633.9667,208964919,0.5,24077,15161,34750,9574,4942
9,2017,T,518,786600,15284.46001,193503000,1,24544,16259,28023,8595,4647
9,2018,T,275,837600,16125.6104,252503052.6,1.5,23993,16299,33295,7995,4360
9,2019,T,422,767500,16683.24531,234141550,1.75,23780,16132,34562,6842,4432
9,2020,T,730,809900,16234.7048,235095447.6,0.25,23866,16474,36449,5335,6108
9,2021,T,578,963800,20510.93824,232076542.9,0.25,23583,17885,28002,4249,948
8,2005,T,601,339031,10571.36825,128369750,2.5,21756,13484,35990,9314,3656
8,2006,T,536,406676,12035.24099,167049486.4,4.25,21892,13396,38296,9215,4517
8,2007,T,592,46577,13411.12717,214616559.1,4.5,22530,13455,32245,9838,4252
8,2008,T,293,463433,13364.13008,203548235,3,23039,13810,36617,9449,3945
8,2009,T,610,459159,10816.36001,177113825,0.25,23688,13492,35977,8334,3773
8,2010,T,374,489511,11728.56176,186650361.9,0.75,23586,13545,36850,8906,4270
8,2011,T,403,511433,12383.20455,252732877.3,1,23223,13564,32857,8783,3872
8,2012,T,300,462300,11921,137993904.5,1,23339,13813,29630,9542,4251
8,2013,T,444,457000,12622.70001,119729328.6,1,23969,13976,29822,9560,4087
8,2014,T,487,474900,15389.38003,136711630,1,23681,14290,30466,9775,4347
8,2015,T,578,511500,14010.42007,210363200,0.5,24134,14952,25159,9752,4911
8,2016,T,431,677600,14680.81818,173085681.8,0.5,24077,15161,34750,9574,4942
8,2017,T,529,778300,15108.95002,153166800,0.75,24544,16259,28023,8595,4647
8,2018,T,337,846000,16332.4272,198310918.2,1.5,23993,16299,33295,7995,4360
8,2019,T,409,771900,16243.06659,195463795.2,1.75,23780,16132,34562,6842,4432
8,2020,T,620,806400,16584.29004,199759780,0.25,23866,16474,36449,5335,6108
8,2021,T,576,952600,20462.6143,178290823.8,0.25,23583,17885,28002,4249,948
7,2005,T,647,336343,10247.47007,105842925,2.5,21756,13484,35990,9314,3656
7,2006,T,513,404537,11658.64502,156834620,4.25,21892,13396,38296,9215,4517
7,2007,T,716,448383,14196.76669,213051395.2,4.5,22530,13455,32245,9838,4252
7,2008,T,381,473953,13623.00901,232598495.5,3,23039,13810,36617,9449,3945
7,2009,T,792,452085,10292.80926,171589472.7,0.25,23688,13492,35977,8334,3773
7,2010,T,368,490995,11558.59045,174158471.4,0.75,23586,13545,36850,8906,4270
7,2011,T,432,524909,13295.15991,176445650,1,23223,13564,32857,8783,3872
7,2012,T,384,468700,11626.91439,154676133.3,1,23339,13813,29630,9542,4251
7,2013,T,487,456700,12479.65914,25115568.18,1,23969,13976,29822,9560,4087
7,2014,T,527,472400,15268.33634,151065722.7,1,23681,14290,30466,9775,4347
7,2015,T,690,511500,14436.42272,172930768.2,0.75,24134,14952,25159,9752,4911
